Algorithm,Max Axis Length,Axis Lengths,Axis Demands,Optimal,Iteration,Seconds,Time
Slave Problem,25,12,"[2, 3, 1]",5,17,0.5041134357452393,00:00:00.504113
Genetic Algorithm,25,12,"[2, 3, 1]",5,17,0.2660598754882812,00:00:00.266059
Slave Problem,25,45,"[17, 89, 12, 43, 79, 39, 19, 57, 68, 64, 29, 93]",456,27,0.9912235736846924,00:00:00.991223
Genetic Algorithm,25,45,"[17, 89, 12, 43, 79, 39, 19, 57, 68, 64, 29, 93]",465,34,0.6461451053619385,00:00:00.646145
Slave Problem,50,20,"[3, 1, 3, 1, 2]",5,21,0.7101588249206543,00:00:00.710158
Genetic Algorithm,50,20,"[3, 1, 3, 1, 2]",5,24,0.4050912857055664,00:00:00.405091
Slave Problem,50,172,"[62, 60, 75, 80, 5, 70, 100, 36, 17, 82, 37, 73, 8, 95, 69, 97, 99, 80, 63, 72, 68, 55, 79, 86, 19, 6, 79, 13, 86, 31, 39, 5, 11, 55, 16, 32, 44, 94, 4, 78, 79, 44, 68, 53, 8]",1135,93,5.165163516998291,00:00:05.165163
Genetic Algorithm,50,172,"[62, 60, 75, 80, 5, 70, 100, 36, 17, 82, 37, 73, 8, 95, 69, 97, 99, 80, 63, 72, 68, 55, 79, 86, 19, 6, 79, 13, 86, 31, 39, 5, 11, 55, 16, 32, 44, 94, 4, 78, 79, 44, 68, 53, 8]",1142,169,5.530243158340454,00:00:05.530243
Slave Problem,100,181,"[45, 78, 34, 96, 39, 60, 69, 95, 3, 88, 4, 13, 8, 78, 82, 8, 86, 100, 83, 4, 86, 50, 17, 44, 77, 27, 34, 97, 83, 81, 84, 92, 100, 19, 12, 91, 49, 53, 38, 28, 25, 93, 71, 25, 56, 88]",1407,89,5.413218975067139,00:00:05.413218
Genetic Algorithm,100,181,"[45, 78, 34, 96, 39, 60, 69, 95, 3, 88, 4, 13, 8, 78, 82, 8, 86, 100, 83, 4, 86, 50, 17, 44, 77, 27, 34, 97, 83, 81, 84, 92, 100, 19, 12, 91, 49, 53, 38, 28, 25, 93, 71, 25, 56, 88]",1409,152,4.477005958557129,00:00:04.477005
Slave Problem,250,692,"[77, 6, 99, 5, 42, 26, 65, 48, 47, 96, 27, 52, 95, 41, 81, 57, 21, 69, 29, 75, 32, 100, 24, 77, 60, 79, 84, 37, 33, 19, 84, 18, 71, 35, 7, 97, 82, 8, 45, 30, 16, 59, 23, 86, 54, 86, 86, 59, 21, 63, 93, 6, 97, 95, 47, 59, 53, 74, 6, 67, 25, 27, 35, 8, 81, 62, 91, 68, 10, 95, 93, 62, 11, 49, 9, 40, 88, 53, 99, 89, 94, 91, 94, 25, 73, 18, 78, 69, 95, 70, 74, 88, 35, 100, 36, 34, 62, 29, 23, 23, 79, 79, 79, 66, 69, 76, 36, 24, 100, 6, 21, 38, 36, 80, 10, 80, 82, 34, 64, 14, 85, 23, 52, 88, 64, 71, 51, 52, 69, 35, 84, 81, 21, 39, 38, 31, 21, 15, 91, 20, 85, 24, 57, 25, 85, 26, 54, 41, 36, 91]",4424,253,19.25233054161072,00:00:19.252330
Genetic Algorithm,250,692,"[77, 6, 99, 5, 42, 26, 65, 48, 47, 96, 27, 52, 95, 41, 81, 57, 21, 69, 29, 75, 32, 100, 24, 77, 60, 79, 84, 37, 33, 19, 84, 18, 71, 35, 7, 97, 82, 8, 45, 30, 16, 59, 23, 86, 54, 86, 86, 59, 21, 63, 93, 6, 97, 95, 47, 59, 53, 74, 6, 67, 25, 27, 35, 8, 81, 62, 91, 68, 10, 95, 93, 62, 11, 49, 9, 40, 88, 53, 99, 89, 94, 91, 94, 25, 73, 18, 78, 69, 95, 70, 74, 88, 35, 100, 36, 34, 62, 29, 23, 23, 79, 79, 79, 66, 69, 76, 36, 24, 100, 6, 21, 38, 36, 80, 10, 80, 82, 34, 64, 14, 85, 23, 52, 88, 64, 71, 51, 52, 69, 35, 84, 81, 21, 39, 38, 31, 21, 15, 91, 20, 85, 24, 57, 25, 85, 26, 54, 41, 36, 91]",4525,465,16.2906653881073,00:00:16.290665
Slave Problem,500,1197,"[75, 74, 83, 70, 69, 67, 66, 48, 61, 63, 12, 54, 63, 85, 47, 24, 97, 70, 39, 38, 81, 92, 26, 10, 38, 41, 50, 83, 79, 35, 29, 83, 36, 61, 74, 13, 24, 7, 81, 69, 95, 16, 31, 6, 83, 56, 79, 37, 65, 65, 70, 44, 89, 24, 23, 81, 95, 65, 27, 16, 94, 11, 54, 99, 45, 97, 20, 58, 79, 76, 37, 100, 62, 95, 68, 56, 14, 96, 64, 66, 49, 5, 48, 77, 99, 25, 95, 87, 35, 21, 50, 85, 54, 36, 79, 58, 17, 73, 16, 66, 8, 98, 82, 39, 5, 83, 58, 89, 88, 17, 60, 7, 56, 94, 40, 95, 63, 70, 15, 20, 85, 75, 99, 51, 95, 45, 53, 91, 53, 56, 34, 74, 75, 52, 23, 85, 48, 78, 27, 89, 33, 65, 33, 5, 99, 13, 16, 33, 79, 31, 41, 72, 89, 31, 66, 18, 10, 81, 53, 10, 72, 68, 84, 50, 85, 94, 87, 26, 72, 70, 45, 98, 82, 99, 31, 87, 30, 11, 13, 17, 45, 48, 32, 23, 44, 63, 63, 18, 37, 73, 8, 70, 16, 75, 55, 75, 28, 15, 82, 71, 24, 27, 71, 9, 48, 26, 65, 74, 43, 53, 54, 13, 78, 75, 10, 40, 94, 35, 82, 64, 93, 39, 93, 5, 79, 10, 60, 94, 96, 26, 47, 71, 42, 23, 8, 69, 42, 35, 19, 68, 79, 10, 65, 24, 77, 84, 27, 88, 54, 67]",6678,590,65.84981393814087,00:01:05.849813
Genetic Algorithm,500,1197,"[75, 74, 83, 70, 69, 67, 66, 48, 61, 63, 12, 54, 63, 85, 47, 24, 97, 70, 39, 38, 81, 92, 26, 10, 38, 41, 50, 83, 79, 35, 29, 83, 36, 61, 74, 13, 24, 7, 81, 69, 95, 16, 31, 6, 83, 56, 79, 37, 65, 65, 70, 44, 89, 24, 23, 81, 95, 65, 27, 16, 94, 11, 54, 99, 45, 97, 20, 58, 79, 76, 37, 100, 62, 95, 68, 56, 14, 96, 64, 66, 49, 5, 48, 77, 99, 25, 95, 87, 35, 21, 50, 85, 54, 36, 79, 58, 17, 73, 16, 66, 8, 98, 82, 39, 5, 83, 58, 89, 88, 17, 60, 7, 56, 94, 40, 95, 63, 70, 15, 20, 85, 75, 99, 51, 95, 45, 53, 91, 53, 56, 34, 74, 75, 52, 23, 85, 48, 78, 27, 89, 33, 65, 33, 5, 99, 13, 16, 33, 79, 31, 41, 72, 89, 31, 66, 18, 10, 81, 53, 10, 72, 68, 84, 50, 85, 94, 87, 26, 72, 70, 45, 98, 82, 99, 31, 87, 30, 11, 13, 17, 45, 48, 32, 23, 44, 63, 63, 18, 37, 73, 8, 70, 16, 75, 55, 75, 28, 15, 82, 71, 24, 27, 71, 9, 48, 26, 65, 74, 43, 53, 54, 13, 78, 75, 10, 40, 94, 35, 82, 64, 93, 39, 93, 5, 79, 10, 60, 94, 96, 26, 47, 71, 42, 23, 8, 69, 42, 35, 19, 68, 79, 10, 65, 24, 77, 84, 27, 88, 54, 67]",6829,1000,46.9505627155304,00:00:46.950562
